# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jun  5 17:54:41 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
1.400000000e+00 7.55802e-239 3.33301e-236 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.95301e-01 1.00000e+00 1.00000e+00 9.96767e-01 2.28492e-03
1.400014000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.90137e-01 1.00000e+00 1.00000e+00 9.96767e-01 2.28470e-03
1.400028000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 9.96066e-01 1.00000e+00 1.00000e+00 9.96768e-01 2.28449e-03
1.400042000e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 9.99995e-01 1.00000e+00 9.97905e-01 1.00000e+00 1.00000e+00 9.96768e-01 2.28427e-03
1.400056001e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 9.99977e-01 1.00000e+00 9.98402e-01 1.00000e+00 1.00000e+00 9.96768e-01 2.28405e-03
1.400070001e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 9.99982e-01 1.00000e+00 9.97472e-01 1.00000e+00 1.00000e+00 9.96768e-01 2.28384e-03
1.400084002e+00 0.00000e+00 0.00000e+00 1.00000e+00 1.00000e+00 9.99996e-01 1.00000e+00 9.95446e-01 1.00000e+00 1.00000e+00 9.96768e-01 2.28362e-03
1.400098003e+00 9.83030e-252 4.39050e-249 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 9.90860e-01 1.00000e+00 1.00000e+00 9.96768e-01 2.28341e-03
1.400112004e+00 2.70878e-163 1.20155e-160 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.84277e-01 1.00000e+00 1.00000e+00 9.96768e-01 2.28319e-03
1.400126005e+00 2.23445e-117 9.94343e-115 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.90929e-01 1.00000e+00 1.00000e+00 9.96769e-01 2.28297e-03
1.400140006e+00 3.42370e-91 1.51447e-88 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.89642e-01 1.00000e+00 1.00000e+00 9.96769e-01 2.28276e-03
1.400154008e+00 1.00536e-74 4.43744e-72 1.00000e+00 1.00000e+00 9.99999e-01 1.00000e+00 9.93372e-01 1.00000e+00 1.00000e+00 9.96769e-01 2.28254e-03
1.400168009e+00 2.60548e-63 1.14820e-60 1.00000e+00 1.00000e+00 9.99998e-01 1.00000e+00 9.97250e-01 1.00000e+00 1.00000e+00 9.96769e-01 2.28233e-03
1.400182011e+00 6.99156e-56 3.08158e-53 1.00000e+00 1.00000e+00 9.99996e-01 1.00000e+00 9.97190e-01 1.00000e+00 1.00000e+00 9.96769e-01 2.28211e-03
1.400196013e+00 4.53089e-51 1.99779e-48 1.00000e+00 1.00000e+00 9.99985e-01 1.00000e+00 9.96846e-01 1.00000e+00 1.00000e+00 9.96769e-01 2.28189e-03
1.400210015e+00 4.08331e-48 1.80661e-45 1.00000e+00 1.00000e+00 9.99981e-01 1.00000e+00 9.95619e-01 1.00000e+00 1.00000e+00 9.96769e-01 2.28168e-03
1.400224017e+00 1.83899e-46 8.14948e-44 1.00000e+00 1.00000e+00 9.99996e-01 1.00000e+00 9.92774e-01 1.00000e+00 1.00000e+00 9.96769e-01 2.28146e-03
